Title,Item_no,EAN,Price,Shiping_time,Description,Link,Brand,Article no
Laufen H4054240341421 WTU SONAR f.WT H812340/1/2/3 1 Schubl,H4054240341421,7612738946029,"1.962,31 ",29 - 31 workdays,1175x455 Ausschn li+re Titan+Nero Marqui,https://ssd-armaturenshop.de/navi.php?a=768529&lang=eng,navi.php?a=768529&lang=eng,768529
Viega 117153 Verstellrohr 7985.31-697,117153,4015211117153,"3,38 ",16 - 17 workdays,in G1 1/2 x 40x200mm Kunststoff weiss,https://ssd-armaturenshop.de/Viega-117153-Verstellrohr-798531-697_1,Viega,71076
Duravit VE750100000 Spiegelschrank Vero 142x600x800mm,VE750100000-DU,4021534971921,"951,70 ",40 - 42 workdays,"2 Spiegeltüren, LED Modul, verspiegelt",https://ssd-armaturenshop.de/Duravit-VE750100000-Spiegelschrank-Vero-142x600x800mm_1,Duravit,84936
"Duravit BR7101L2121 Spiegelschrank Brioso m. Bel., 1 Tür",BR7101L2121-DU,4053424603223,"666,40 ",39 - 41 workdays,"TA li, 700x620x148mm, Nussbaum Dunkel",https://ssd-armaturenshop.de/navi.php?a=583138&lang=eng,navi.php?a=583138&lang=eng,583138
Duravit VE6270L7171 WTU wandhängend Vero 211x450x428mm,VE6270L7171-DU,4021534968969,"251,02 ",40 - 42 workdays,"1 Tür, TA li, 070350, mediterrane eiche",https://ssd-armaturenshop.de/Duravit-VE6270L7171-WTU-wandhaengend-Vero-211x450x428mm_1,Duravit,83119
LAUFEN 2980760000001 Rahmen Indura für DW 1400x800,H2980760000001,4014804889361,"326,84 ",12 - 14 workdays,NA,https://ssd-armaturenshop.de/LAUFEN-2980760000001-Rahmen-Indura-fuer-DW-1400x800,LAUFEN,54344
Duravit XV1315RB122 Halbhochschrank XViu 1330x400x240mm,XV1315RB122-DU,4053424731063,"541,32 ",39 - 41 workdays,TA r.champagner matt/weiß hochglanz.,https://ssd-armaturenshop.de/navi.php?a=607419&lang=eng,navi.php?a=607419&lang=eng,607419
Duravit BR414809191 WTU Brioso 563x1170x469mm,BR414809191-DU,4053424589954,"535,36 ",39 - 41 workdays,"2 Schubk., Taupe",https://ssd-armaturenshop.de/navi.php?a=579905&lang=eng,navi.php?a=579905&lang=eng,579905
Duravit KT665004949 WTU wandhängend Ketho 455x600x480mm,KT665004949-DU,4021534847882,"409,36 ",40 - 42 workdays,"2 SchKa, für 034265, graphit matt",https://ssd-armaturenshop.de/Duravit-KT665004949-WTU-wandhaengend-Ketho-455x600x480mm_1,Duravit,103143
Geberit 393521141  Silent-Pro Bogen,393521141-geb,4025416451693,"14,78 ",19 - 20 workdays,30Gr d110mm,https://ssd-armaturenshop.de/Geberit-393521141-Silent-Pro-Bogen_1,Geberit,117663
Duravit KT666404949 WTU wandhängend Ketho 465x800x410mm,KT666404949-DU,4021534694646,"323,50 ",40 - 42 workdays,"1 Auszug, für 030480, graphit matt",https://ssd-armaturenshop.de/Duravit-KT666404949-WTU-wandhaengend-Ketho-465x800x410mm_1,Duravit,103253
Geberit 393501141  Silent-Pro Rohr mit Muffe,393501141-geb,4025416450429,"8,18 ",19 - 20 workdays,d110mm L25cm,https://ssd-armaturenshop.de/Geberit-393501141-Silent-Pro-Rohr-mit-Muffe_1,Geberit,117611
BETTE B51-3064 Fußsystem für Caro DW B51-3064,B51-3064,4038565016507,"125,30 ",58 - 60 workdays,100x100,https://ssd-armaturenshop.de/BETTE-B51-3064-Fusssystem-fuer-Caro-DW-B51-3064_1,BETTE,347144
Viega 111496 Höhenausgleichsstück 4947,111496,4015211111496,"6,86 ",9 - 10 workdays,in 100mm Kunststoff grau,https://ssd-armaturenshop.de/Viega-111496-Hoehenausgleichsstueck-4947_1,Viega,71128
LAUFEN 8164340001041 EWT Living Square von oben,H8164340001041,4014804823020,"464,78 ",20 - 22 workdays,1 HL m.ÜL 900x480 weiß,https://ssd-armaturenshop.de/LAUFEN-8164340001041-EWT-Living-Square-von-oben_1,LAUFEN,55354
Duravit KT1267R4343 Hochschrank Ketho 360x500x1320mm,KT1267R4343-DU,4021534724343,"352,22 ",40 - 42 workdays,"1 Tür, TA rechts, basalt matt",https://ssd-armaturenshop.de/Duravit-KT1267R4343-Hochschrank-Ketho-360x500x1320mm_1,Duravit,102856
DORNBRACHT 1070038,093002072-08,4029011419331,"111,98 ",20 - 21 workdays,093002072 1250 mm platin,https://ssd-armaturenshop.de/DORNBRACHT-1070038_214,DORNBRACHT,6412
DORNBRACHT 1070038,093002072-09,4029011435713,"125,10 ",20 - 21 workdays,093002072 1250 mm messing,https://ssd-armaturenshop.de/DORNBRACHT-1070038_215,DORNBRACHT,6413
DORNBRACHT 1070038,28322970-08,4029011235313,"114,35 ",20 - 21 workdays,28322970 1750 mm platin,https://ssd-armaturenshop.de/DORNBRACHT-1070038_2717,DORNBRACHT,18489
DORNBRACHT 1070038,28322970-09,4029011235320,"118,64 ",20 - 21 workdays,28322970 1750 mm messing,https://ssd-armaturenshop.de/DORNBRACHT-1070038_2718,DORNBRACHT,18490
DORNBRACHT 1040036,27802892-06,4029011521942,"473,77 ",8 - 9 workdays,27802892 platin matt,https://ssd-armaturenshop.de/DORNBRACHT-1040036_7,DORNBRACHT,7044
LAUFEN 8139580491041 WT unterbaufähig Laufen PRO 1 HL,H8139580491041,4014804400252,"444,58 ",38 - 40 workdays,mittig m.ÜL 1050x480 pergamon,https://ssd-armaturenshop.de/LAUFEN-8139580491041-WT-unterbaufaehig-Laufen-PRO-1-HL,LAUFEN,45311
"KEUCO 30310383902 HS Edition 300 30310,Anschlag rechts",30310383902,4017214166466,"1.201,53 ",21 - 23 workdays,weiß/anthrazit,https://ssd-armaturenshop.de/KEUCO-30310383902-HS-Edition-300-30310Anschlag-rechts_1,KEUCO,29344
BETTE 5900-000PLUS Intra Rechteck-Duschwanne 5900,5900-000PLUS,4038565069503,"190,73 ",28 - 30 workdays,90x90x15 cm weiß PLUS,https://ssd-armaturenshop.de/BETTE-5900-000PLUS-Intra-Rechteck-Duschwanne-5900_1,BETTE,327286
BETTE 8119-000 1/4-Kreis-Duschwanne Corner 8119,8119-000,4038565012530,"454,89 ",28 - 30 workdays,"75x90x3,5 cm ohne Schürze weiß",https://ssd-armaturenshop.de/BETTE-8119-000-1/4-Kreis-Duschwanne-Corner-8119,BETTE,339197
"KEUCO 31730390002 Hochschrank Edition 400 31730,",31730390002,4017214531394,"815,35 ",21 - 23 workdays,"Anschl. re.,anthrazit/anthrazit",https://ssd-armaturenshop.de/KEUCO-31730390002-Hochschrank-Edition-400-31730_1,KEUCO,36281
"KEUCO 31735210002 Hochschrank Edition 400 31735,",31735210002,4017214531592,"1.219,14 ",21 - 23 workdays,"Anschl. re., weiß HG/weiß HG",https://ssd-armaturenshop.de/KEUCO-31735210002-Hochschrank-Edition-400-31735_1,KEUCO,36295
"KEUCO 31735380002 Hochschrank Edition 400 31735,",31735380002,4017214531639,"937,50 ",21 - 23 workdays,"Anschl. re.,weiß/weiß",https://ssd-armaturenshop.de/KEUCO-31735380002-Hochschrank-Edition-400-31735_1,KEUCO,36299
Duravit DS649802222 WTU wandh. DuraStyle 448x1230x610mm,DS649802222-DU,4053424020877,"555,19 ",40 - 42 workdays,"2 SchKa,233813,weiß hgl./weiß hgl.",https://ssd-armaturenshop.de/Duravit-DS649802222-WTU-wandh-DuraStyle-448x1230x610mm_1,Duravit,107770
Duravit KT664009191 WTU wandhängend Ketho 455x800x480mm,KT664009191-DU,4053424338064,"441,69 ",39 - 41 workdays,"2 SchKa, für 032985, taupe",https://ssd-armaturenshop.de/navi.php?a=588516&lang=eng,navi.php?a=588516&lang=eng,588516
LAUFEN 4101621601011 WTU Space f.81028.4 2 Laden,H4101621601011,7612738345099,"640,58 ",19 - 21 workdays,635x385(410)x520 Nußbaum hell,https://ssd-armaturenshop.de/LAUFEN-4101621601011-WTU-Space-f810284-2-Laden_1,LAUFEN,124234
